PROJECT,SAMPLE_ID,STATION,SAMPLE_DATE,TAXON,ABUNDANCE,SST
cpr,108_5,SYME,2011-07-27T20:18:26,Tripos carriensis,0.6733,18.52
cpr,108_53,SYME,2011-07-28T09:11:02,Thalassiosira spp. 10-20 µm,303,14.98
cpr,108_57,SYME,2011-07-28T10:15:25,Thalassiosira spp. 10-20 µm,23.5667,14.7
cpr,108_57,SYME,2011-07-28T10:15:25,Tripos hexacanthus,0.6733,14.7
cpr,108_57,SYME,2011-07-28T10:15:25,Tripos lunula,0.6733,14.7
cpr,108_65,SYME,2011-07-28T12:24:11,Coscinodiscus spp. > 80 µm,0.6733,13.16
cpr,108_65,SYME,2011-07-28T12:24:11,Tripos muelleri type,0.6733,13.16
cpr,108_9,SYME,2011-07-27T21:22:49,Thalassiosira spp. 10-20 µm,6.7333,18.66
cpr,108_93,SYME,2011-07-28T19:54:52,Tripos furca,3.3667,12.68
cpr,112_17,MEAD,2011-10-07T11:53:55,Dictyocha fibula,3.3333,15.3899936
cpr,112_29,MEAD,2011-10-07T15:29:52,Tripos hexacanthus,0.6667,15.9899935
cpr,112_33,MEAD,2011-10-07T16:41:51,Dictyocha fibula,10,16.0399935
cpr,112_41,MEAD,2011-10-07T19:05:48,Tripos horridus,0.6667,16.1899935
cpr,112_41,MEAD,2011-10-07T19:05:48,Tripos massiliensis,0.6667,16.1899935
cpr,112_57,MEAD,2011-10-07T23:53:44,Thalassiosira spp. <10 µm,3.3333,16.0099935
cpr,112_57,MEAD,2011-10-07T23:53:44,Tripos massiliensis,0.6667,16.0099935
cpr,112_61,MEAD,2011-10-08T01:05:43,Tripos carriensis,0.6667,15.8999935
cpr,112_61,MEAD,2011-10-08T01:05:43,Tripos fusus,0.6667,15.8999935
cpr,112_61,MEAD,2011-10-08T01:05:43,Tripos lunula,0.6667,15.8999935
cpr,112_61,MEAD,2011-10-08T01:05:43,Tripos massiliensis,0.6667,15.8999935
cpr,112_61,MEAD,2011-10-08T01:05:43,Tripos muelleri,0.6667,15.8999935
cpr,112_65,MEAD,2011-10-08T02:17:42,Tripos carriensis,3.3333,15.9399935
cpr,112_65,MEAD,2011-10-08T02:17:42,Tripos hexacanthus,0.6667,15.9399935
cpr,112_69,MEAD,2011-10-08T03:29:40,Tripos carriensis,3.3333,16.0899935
cpr,112_69,MEAD,2011-10-08T03:29:40,Tripos fusus,3.3333,16.0899935
cpr,112_69,MEAD,2011-10-08T03:29:40,Tripos hexacanthus,3.3333,16.0899935
cpr,112_69,MEAD,2011-10-08T03:29:40,Tripos muelleri type,0.6667,16.0899935
cpr,112_9,MEAD,2011-10-07T09:29:57,Tripos carriensis,0.6667,15.4599936
cpr,113_13,FRSY,2011-03-18T18:08:38,Tripos furca type,3.3333,23.43
cpr,113_13,FRSY,2011-03-18T18:08:38,Tripos vultur,3.3333,23.43
cpr,113_21,FRSY,2011-03-19T04:21:43,Climacodium frauenfeldianum,0.6667,22.02
cpr,113_21,FRSY,2011-03-19T04:21:43,Tripos carriensis,0.6667,22.02
cpr,113_21,FRSY,2011-03-19T04:21:43,Tripos lunula,0.6667,22.02
cpr,113_21,FRSY,2011-03-19T04:21:43,Tripos trichoceros,0.6667,22.02
cpr,113_25,FRSY,2011-03-19T09:28:15,Pleurosigma spp. < 150 µm,3.3333,21.85
cpr,113_29,FRSY,2011-03-19T14:34:47,Thalassiosira spp. 10-20 µm,3.3333,21.99
cpr,114_1,FRSY,2011-03-19T03:29:18,Coscinodiscus spp. > 80 µm,0.6667,21.99
cpr,114_21,FRSY,2011-03-20T00:28:28,Tripos vultur,0.6667,20.14
cpr,114_29,FRSY,2011-03-20T08:52:07,Tripos fusus type,3.3333,19.86
cpr,114_33,FRSY,2011-03-20T13:03:57,Coscinodiscus spp. > 80 µm,0.6667,19.32
cpr,114_37,FRSY,2011-03-20T17:15:47,Coscinodiscus spp. > 80 µm,0.6667,19.71
cpr,116_13,FRSY,2011-03-21T12:15:27,Coscinodiscus spp. > 80 µm,0.6667,18.75
cpr,116_13,FRSY,2011-03-21T12:15:27,Thalassiosira spp. 10-20 µm,3.3333,18.75
cpr,116_13,FRSY,2011-03-21T12:15:27,Tripos trichoceros,3.3333,18.75
cpr,116_17,FRSY,2011-03-21T14:05:58,Tripos carriensis,0.6667,18.58
cpr,116_17,FRSY,2011-03-21T14:05:58,Tripos lunula,0.6667,18.58
cpr,116_5,FRSY,2011-03-21T08:34:24,Coscinodiscus spp. > 80 µm,0.6667,18.7
cpr,116_9,FRSY,2011-03-21T10:24:56,Coscinodiscus spp. > 80 µm,0.6667,18.68
cpr,116_9,FRSY,2011-03-21T10:24:56,Tripos carriensis,0.6667,18.68
cpr,116_9,FRSY,2011-03-21T10:24:56,Tripos lunula,0.6667,18.68
cpr,116_9,FRSY,2011-03-21T10:24:56,Tripos vultur,0.6667,18.68
cpr,117_17,FRSY,2011-03-22T10:09:58,Thalassiosira spp. 10-20 µm,3.3333,16.99
cpr,117_33,FRSY,2011-03-22T17:37:49,Thalassiosira spp. 10-20 µm,6.6667,17.5
cpr,117_33,FRSY,2011-03-22T17:37:49,Tripos fusus type,3.3333,17.5
cpr,117_9,FRSY,2011-03-22T06:26:02,Tripos carriensis,0.6667,17.47
cpr,118_1,FRSY,2011-03-23T02:36:21,Tripos carriensis,0.6667,17.78
cpr,118_17,FRSY,2011-03-23T10:08:08,Coscinodiscus spp. > 80 µm,0.6667,16.65
cpr,118_29,FRSY,2011-03-23T15:46:57,Tripos lunula,0.6667,16.78
cpr,118_5,FRSY,2011-03-23T04:29:18,Tripos furca type,3.3333,17.39
cpr,119_17,FRSY,2011-03-24T09:45:36,Tripos lunula,0.6667,16.12
cpr,119_17,FRSY,2011-03-24T09:45:36,Tripos trichoceros,6.6667,16.12
cpr,119_21,FRSY,2011-03-24T11:32:36,Thalassiosira spp. 20-40 µm,3.3333,15.46
cpr,119_21,FRSY,2011-03-24T11:32:36,Tripos vultur,0.6667,15.46
cpr,119_5,FRSY,2011-03-24T04:24:39,Tripos furca,0.6667,16.73
cpr,119_5,FRSY,2011-03-24T04:24:39,Tripos vultur,0.6667,16.73
cpr,119_9,FRSY,2011-03-24T06:11:38,Tripos carriensis,3.3333,16.75
cpr,120_1,FRSY,2011-03-24T23:26:03,Tripos carriensis,0.6667,15.92
cpr,120_1,FRSY,2011-03-24T23:26:03,Tripos lunula,0.6667,15.92
cpr,120_1,FRSY,2011-03-24T23:26:03,Tripos vultur,0.6667,15.92
cpr,120_17,FRSY,2011-03-25T07:15:02,Thalassiosira spp. 10-20 µm,3.3333,16.56
cpr,120_17,FRSY,2011-03-25T07:15:02,Tripos muelleri type,0.6667,16.56
cpr,120_17,FRSY,2011-03-25T07:15:02,Tripos vultur,3.3333,16.56
cpr,120_21,FRSY,2011-03-25T09:12:17,Thalassiosira spp. 10-20 µm,6.6667,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos carriensis,0.6667,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos furca,0.6667,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos furca type,3.3333,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos fusus type,3.3333,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos lineatus,3.3333,16.66
cpr,120_21,FRSY,2011-03-25T09:12:17,Tripos lunula,0.6667,16.66
cpr,120_25,FRSY,2011-03-25T11:09:31,Tripos muelleri type,0.6667,16.55
cpr,120_29,FRSY,2011-03-25T13:06:46,Tripos carriensis,0.6667,16
cpr,120_29,FRSY,2011-03-25T13:06:46,Tripos furca,0.6667,16
cpr,120_29,FRSY,2011-03-25T13:06:46,Tripos vultur,0.6667,16
cpr,120_5,FRSY,2011-03-25T01:23:17,Tripos carriensis,0.6667,16.22
cpr,120_5,FRSY,2011-03-25T01:23:17,Tripos furca,0.6667,16.22
cpr,120_5,FRSY,2011-03-25T01:23:17,Tripos lunula,0.6667,16.22
cpr,120_5,FRSY,2011-03-25T01:23:17,Tripos vultur,3.3333,16.22
cpr,120_9,FRSY,2011-03-25T03:20:32,Coscinodiscus spp. > 80 µm,0.6667,16.37
cpr,120_9,FRSY,2011-03-25T03:20:32,Dictyocha fibula,3.3333,16.37
cpr,120_9,FRSY,2011-03-25T03:20:32,Tripos muelleri type,0.6667,16.37
cpr,124_1,AUHO,2011-06-07T09:24:24,Coscinodiscus spp. > 80 µm,0.8133,18.27
cpr,124_13,AUHO,2011-06-07T17:10:03,Tripos lunula,0.8133,18.38
cpr,124_17,AUHO,2011-06-07T19:45:15,Tripos carriensis,4.0667,17.79
cpr,124_21,AUHO,2011-06-07T22:20:28,Tripos lunula,0.8133,17.54
cpr,124_5,AUHO,2011-06-07T11:59:37,Coscinodiscus spp. > 80 µm,0.8133,18.46
cpr,125_1,AUHO,2011-06-08T02:20:38,Coscinodiscus spp. > 80 µm,0.6667,17.45
cpr,125_1,AUHO,2011-06-08T02:20:38,Tripos carriensis,0.6667,17.45
cpr,125_1,AUHO,2011-06-08T02:20:38,Tripos macroceros,0.6667,17.45
cpr,125_1,AUHO,2011-06-08T02:20:38,Tripos vultur,0.6667,17.45
cpr,125_5,AUHO,2011-06-08T04:25:37,Tripos carriensis,0.6667,17.35
cpr,125_5,AUHO,2011-06-08T04:25:37,Tripos vultur,0.6667,17.35
cpr,126_5,AUHO,2011-06-09T02:03:39,Coscinodiscus spp. > 80 µm,0.6667,16.38
cpr,126_5,AUHO,2011-06-09T02:03:39,Octactis octonaria,3.3333,16.38
cpr,126_5,AUHO,2011-06-09T02:03:39,Tripos muelleri,0.6667,16.38
cpr,127_1,AUHO,2011-06-09T11:23:59,Dictyocha fibula,3.3333,16.38
cpr,127_17,AUHO,2011-06-09T19:23:46,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.88
cpr,127_21,AUHO,2011-06-09T21:23:43,Dictyocha fibula,3.3333,15.95
cpr,127_21,AUHO,2011-06-09T21:23:43,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.95
cpr,127_25,AUHO,2011-06-09T23:23:40,Coscinodiscus spp. > 80 µm,0.6667,15.76
cpr,127_25,AUHO,2011-06-09T23:23:40,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.76
cpr,127_5,AUHO,2011-06-09T13:23:56,Coscinodiscus spp. > 80 µm,0.6667,16.35
cpr,127_5,AUHO,2011-06-09T13:23:56,Dictyocha fibula,3.3333,16.35
cpr,127_5,AUHO,2011-06-09T13:23:56,Thalassiosira spp. 10-20 µm,3.3333,16.35
cpr,127_9,AUHO,2011-06-09T15:23:53,Coscinodiscus spp. > 80 µm,0.6667,16.21
cpr,127_9,AUHO,2011-06-09T15:23:53,Pseudo-nitzschia delicatissima complex <=3 µm,6.6667,16.21
cpr,127_9,AUHO,2011-06-09T15:23:53,Thalassiosira spp. 20-40 µm,3.3333,16.21
cpr,127_9,AUHO,2011-06-09T15:23:53,Tripos horridus,0.6667,16.21
cpr,128_1,AUHO,2011-06-10T13:25:08,Coscinodiscus spp. > 80 µm,0.6667,15.25
cpr,128_13,AUHO,2011-06-10T19:28:06,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.92
cpr,128_17,AUHO,2011-06-10T21:29:05,Coscinodiscus spp. > 80 µm,0.6667,15.49
cpr,128_17,AUHO,2011-06-10T21:29:05,Thalassiosira spp. 10-20 µm,6.6667,15.49
cpr,128_25,AUHO,2011-06-11T01:31:04,Dictyocha fibula,3.3333,15.19
cpr,128_25,AUHO,2011-06-11T01:31:04,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.19
cpr,128_5,AUHO,2011-06-10T15:26:07,Coscinodiscus spp. > 80 µm,0.6667,15.3
cpr,128_5,AUHO,2011-06-10T15:26:07,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.3
cpr,128_9,AUHO,2011-06-10T17:27:07,Dictyocha fibula,3.3333,16.02
cpr,129_1,AUHO,2011-06-11T14:02:00,Pseudo-nitzschia delicatissima complex <=3 µm,10,14.96
cpr,129_1,AUHO,2011-06-11T14:02:00,Thalassiosira spp. 10-20 µm,3.3333,14.96
cpr,129_1,AUHO,2011-06-11T14:02:00,Tripos lunula,0.6667,14.96
cpr,129_13,AUHO,2011-06-11T20:01:58,Dictyocha fibula,3.3333,14.93
cpr,129_13,AUHO,2011-06-11T20:01:58,Pseudo-nitzschia delicatissima complex <=3 µm,10,14.93
cpr,129_17,AUHO,2011-06-11T22:01:58,Climacodium frauenfeldianum,3.3333,15.68
cpr,129_17,AUHO,2011-06-11T22:01:58,Pseudo-nitzschia delicatissima complex <=3 µm,33.3333,15.68
cpr,129_17,AUHO,2011-06-11T22:01:58,Thalassiosira spp. <10 µm,3.3333,15.68
cpr,129_17,AUHO,2011-06-11T22:01:58,Tripos vultur,0.6667,15.68
cpr,129_21,AUHO,2011-06-12T00:01:57,Pseudo-nitzschia delicatissima complex <=3 µm,10,15.89
cpr,129_21,AUHO,2011-06-12T00:01:57,Tripos furca,0.6667,15.89
cpr,129_21,AUHO,2011-06-12T00:01:57,Tripos lunula,0.6667,15.89
cpr,129_21,AUHO,2011-06-12T00:01:57,Tripos ranipes,0.6667,15.89
cpr,129_21,AUHO,2011-06-12T00:01:57,Tripos vultur,0.6667,15.89
cpr,129_25,AUHO,2011-06-12T02:01:57,Coscinodiscus spp. > 80 µm,0.6667,15.8
cpr,129_25,AUHO,2011-06-12T02:01:57,Pseudo-nitzschia delicatissima complex <=3 µm,10,15.8
cpr,129_25,AUHO,2011-06-12T02:01:57,Tripos biceps,3.3333,15.8
cpr,129_25,AUHO,2011-06-12T02:01:57,Tripos carriensis,0.6667,15.8
cpr,129_25,AUHO,2011-06-12T02:01:57,Tripos lunula,0.6667,15.8
cpr,129_25,AUHO,2011-06-12T02:01:57,Tripos vultur,0.6667,15.8
cpr,129_29,AUHO,2011-06-12T04:01:56,Coscinodiscus spp. > 80 µm,0.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Dictyocha fibula,3.3333,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Pseudo-nitzschia delicatissima complex <=3 µm,6.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Pseudo-nitzschia seriata complex >3 µm,6.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Tripos biceps,0.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Tripos carriensis,0.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Tripos declinatus,0.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Tripos trichoceros,0.6667,15.23
cpr,129_29,AUHO,2011-06-12T04:01:56,Tripos vultur,0.6667,15.23
cpr,129_33,AUHO,2011-06-12T06:01:55,Tripos biceps,0.6667,15.3
cpr,129_33,AUHO,2011-06-12T06:01:55,Tripos furca,0.6667,15.3
cpr,129_33,AUHO,2011-06-12T06:01:55,Tripos lunula,0.6667,15.3
cpr,129_33,AUHO,2011-06-12T06:01:55,Tripos pentagonus,0.6667,15.3
cpr,129_5,AUHO,2011-06-11T16:01:59,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,15.05
cpr,129_5,AUHO,2011-06-11T16:01:59,Tripos carriensis,0.6667,15.05
cpr,129_9,AUHO,2011-06-11T18:01:59,Dictyocha fibula,3.3333,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Dictyocha speculum,3.3333,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Pseudo-nitzschia delicatissima complex <=3 µm,53.3333,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Thalassiosira spp. 10-20 µm,10,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Tripos biceps,3.3333,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Tripos horridus,0.6667,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Tripos platycornis,0.6667,15.16
cpr,129_9,AUHO,2011-06-11T18:01:59,Tripos vultur,0.6667,15.16
cpr,12_1,BRSY,2009-12-12T06:08:03,Tripos vultur,10,24.76
cpr,12_13,BRSY,2009-12-12T09:20:57,Climacodium frauenfeldianum,3.3333,25.51
cpr,12_13,BRSY,2009-12-12T09:20:57,Tripos vultur,0.6667,25.51
cpr,12_17,BRSY,2009-12-12T10:25:15,Climacodium frauenfeldianum,10,25.22
cpr,12_17,BRSY,2009-12-12T10:25:15,Tripos lunula,0.6667,25.22
cpr,12_21,BRSY,2009-12-12T11:29:33,Climacodium frauenfeldianum,0.6667,25.62
cpr,12_21,BRSY,2009-12-12T11:29:33,Tripos lunula,0.6667,25.62
cpr,12_21,BRSY,2009-12-12T11:29:33,Tripos vultur,0.6667,25.62
cpr,12_25,BRSY,2009-12-12T12:33:51,Noctiluca scintillans,3.3333,24.7
cpr,12_25,BRSY,2009-12-12T12:33:51,Tripos lunula,0.6667,24.7
cpr,12_25,BRSY,2009-12-12T12:33:51,Tripos vultur,0.6667,24.7
cpr,12_29,BRSY,2009-12-12T13:38:09,Climacodium frauenfeldianum,3.3333,23.31
cpr,12_33,BRSY,2009-12-12T14:42:27,Tripos vultur,0.6667,22.95
cpr,12_37,BRSY,2009-12-12T15:46:45,Tripos vultur,0.6667,21.84
cpr,12_41,BRSY,2009-12-12T16:51:03,Climacodium frauenfeldianum,3.3333,22.18
cpr,12_41,BRSY,2009-12-12T16:51:03,Tripos vultur,3.3333,22.18
cpr,12_45,BRSY,2009-12-12T17:55:21,Tripos lunula,0.6667,22.15
cpr,12_49,BRSY,2009-12-12T18:59:39,Tripos lunula,0.6667,22.86
cpr,12_5,BRSY,2009-12-12T07:12:21,Climacodium frauenfeldianum,3.3333,25.2
cpr,12_5,BRSY,2009-12-12T07:12:21,Coscinodiscus spp. > 80 µm,3.3333,25.2
cpr,12_5,BRSY,2009-12-12T07:12:21,Tripos furca,3.3333,25.2
cpr,12_5,BRSY,2009-12-12T07:12:21,Tripos vultur,0.6667,25.2
cpr,12_57,BRSY,2009-12-12T21:08:15,Tripos vultur,3.3333,22.85
cpr,12_9,BRSY,2009-12-12T08:16:39,Climacodium frauenfeldianum,0.6667,25.37
cpr,130_1,AUHO,2011-06-12T14:09:03,Tripos vultur,0.6667,15.31
cpr,130_13,AUHO,2011-06-12T22:10:19,Coscinodiscus spp. > 80 µm,0.6667,16.05
cpr,130_13,AUHO,2011-06-12T22:10:19,Tripos lunula,0.6667,16.05
cpr,130_13,AUHO,2011-06-12T22:10:19,Tripos pentagonus,0.6667,16.05
cpr,130_17,AUHO,2011-06-13T00:50:44,Tripos biceps,0.6667,16.14
cpr,130_17,AUHO,2011-06-13T00:50:44,Tripos lunula,0.6667,16.14
cpr,130_5,AUHO,2011-06-12T16:49:29,Tripos vultur,0.6667,16.18
cpr,130_9,AUHO,2011-06-12T19:29:54,Dictyocha fibula,3.3333,16.19
cpr,131_1,AUHO,2011-06-13T14:22:41,Coscinodiscus spp. > 80 µm,0.6667,14.45
cpr,131_17,AUHO,2011-06-13T22:12:35,Coscinodiscus spp. > 80 µm,0.6667,14.28
cpr,131_25,AUHO,2011-06-14T02:07:32,Coscinodiscus spp. > 80 µm,0.6667,15.13
cpr,132_1,AUHO,2011-06-18T07:24:49,Coscinodiscus spp. > 80 µm,0.6667,14.98
cpr,132_1,AUHO,2011-06-18T07:24:49,Pseudo-nitzschia delicatissima complex <=3 µm,3.3333,14.98
cpr,132_5,AUHO,2011-06-18T09:23:26,Coscinodiscus spp. > 80 µm,0.6667,14.56
cpr,135_1,BRSY,2011-12-11T08:01:34,Coscinodiscus spp. > 80 µm,0.6667,24.58
cpr,135_1,BRSY,2011-12-11T08:01:34,Thalassiosira spp. <10 µm,3.3333,24.58
cpr,135_1,BRSY,2011-12-11T08:01:34,Tripos carriensis,0.6667,24.58
cpr,135_1,BRSY,2011-12-11T08:01:34,Tripos lunula,0.6667,24.58
cpr,135_1,BRSY,2011-12-11T08:01:34,Tripos trichoceros,0.6667,24.58
cpr,135_13,BRSY,2011-12-11T12:39:14,Coscinodiscus spp. > 80 µm,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Thalassiosira spp. <10 µm,3.3333,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos axialis,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos carriensis,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos hexacanthus,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos lunula,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos trichoceros,0.6667,23.78
cpr,135_13,BRSY,2011-12-11T12:39:14,Tripos vultur,0.6667,23.78
cpr,135_17,BRSY,2011-12-11T14:11:47,Climacodium frauenfeldianum,6.6667,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Rhizosolenia acuminata,10,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Thalassiosira spp. 40-60 µm,3.3333,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Tripos hexacanthus,0.6667,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Tripos lunula,0.6667,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Tripos trichoceros,0.6667,23.73
cpr,135_17,BRSY,2011-12-11T14:11:47,Tripos vultur,0.6667,23.73
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos axialis,0.6667,23.02
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos candelabrus,0.6667,23.02
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos carriensis,6.6667,23.02
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos fusus type,3.3333,23.02
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos trichoceros,3.3333,23.02
cpr,135_21,BRSY,2011-12-11T15:44:20,Tripos vultur,0.6667,23.02
cpr,135_25,BRSY,2011-12-11T17:16:53,Noctiluca scintillans,6.6667,22.56
cpr,135_25,BRSY,2011-12-11T17:16:53,Tripos carriensis,3.3333,22.56
cpr,135_25,BRSY,2011-12-11T17:16:53,Tripos fusus type,3.3333,22.56
cpr,135_25,BRSY,2011-12-11T17:16:53,Tripos lineatus,3.3333,22.56
cpr,135_25,BRSY,2011-12-11T17:16:53,Tripos pentagonus,3.3333,22.56
cpr,135_29,BRSY,2011-12-11T18:49:27,Climacodium frauenfeldianum,10,22.08
cpr,135_29,BRSY,2011-12-11T18:49:27,Tripos carriensis,0.6667,22.08
cpr,135_29,BRSY,2011-12-11T18:49:27,Tripos macroceros,0.6667,22.08
cpr,135_33,BRSY,2011-12-11T20:22:00,Climacodium frauenfeldianum,3.3333,22.56
cpr,135_33,BRSY,2011-12-11T20:22:00,Thalassiosira spp. 10-20 µm,6.6667,22.56
cpr,135_33,BRSY,2011-12-11T20:22:00,Tripos carriensis,0.6667,22.56
cpr,135_33,BRSY,2011-12-11T20:22:00,Tripos trichoceros,0.6667,22.56
cpr,135_33,BRSY,2011-12-11T20:22:00,Tripos vultur,0.6667,22.56
cpr,135_37,BRSY,2011-12-11T21:54:33,Climacodium frauenfeldianum,23.3333,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Coscinodiscus spp. > 80 µm,0.6667,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Thalassiosira spp. 10-20 µm,10,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Tripos fusus,3.3333,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Tripos macroceros,0.6667,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Tripos trichoceros,3.3333,22.62
cpr,135_37,BRSY,2011-12-11T21:54:33,Tripos vultur,0.6667,22.62
cpr,135_41,BRSY,2011-12-11T23:27:06,Chaetoceros peruvianus < 40 µm cell width,3.3333,22.54
cpr,135_41,BRSY,2011-12-11T23:27:06,Climacodium frauenfeldianum,10,22.54
